word,frequency
the,10607
and,8658
a,5798
to,4615
was,4279
i,3955
of,2805
for,2698
it,2480
in,2144
is,2096
with,1868
we,1803
food,1639
were,1396
my,1393
but,1353
you,1330
this,1328
on,1301
had,1263
very,1252
staff,1183
great,1100
service,1068
that,1046
they,1040
at,1035
as,1016
so,986
are,975
not,959
good,945
be,897
have,860
place,782
from,748
really,747
there,739
friendly,718
all,717
me,648
nice,624
just,610
which,608
time,607
experience,594
here,578
s,577
if,574
t,570
our,565
would,540
lovely,523
an,503
back,498
out,494
us,492
like,482
recommend,481
amazing,473
made,457
one,451
when,450
also,449
or,432
will,430
well,428
definitely,423
no,423
by,420
can,406
been,404
too,396
coffee,394
more,390
up,386
again,385
she,379
only,377
birmingham,373
their,365
atmosphere,356
always,355
some,353
get,352
even,351
what,346
delicious,345
drinks,335
go,334
who,332
after,327
your,317
absolutely,311
visit,305
restaurant,293
went,290
order,288
best,288
has,286
chicken,283
he,276
ordered,273
quality,270
it's,265
highly,265
could,255
customer,249
menu,248
helpful,245
come,245
other,244
came,244
about,241
excellent,236
fresh,234
first,233
do,233
much,233
people,231
got,231
little,226
feel,225
meal,224
overall,223
bar,223
clean,222
them,221
thank,221
bit,218
perfect,213
hot,211
drink,210
served,210
day,209
everything,206
better,204
area,203
her,203
try,200
did,200
love,200
before,200
night,198
fantastic,195
than,193
table,191
busy,189
breakfast,189
room,189
shop,187
taste,184
every,182
see,181
price,180
around,179
small,179
any,178
attentive,178
over,178
being,178
tasty,177
welcoming,174
because,174
never,174
make,173
warm,173
work,171
ve,170
cafe,168
then,168
how,167
new,165
quite,164
prices,164
both,163
didn't,162
especially,162
right,160
off,159
location,158
next,157
however,157
super,155
such,155
quick,155
say,152
spot,152
full,151
way,150
away,150
visited,150
down,149
two,149
few,147
worth,147
going,146
inside,145
most,144
looking,144
said,144
special,144
big,143
sure,143
wait,141
making,141
coming,140
take,140
still,140
while,139
options,138
top,137
find,136
asked,135
eat,135
many,135
ever,134
didn,134
today,134
its,133
minutes,133
lunch,132
money,131
cooked,130
now,130
seating,129
friends,129
felt,128
something,128
free,128
left,128
selection,128
beautiful,128
times,128
long,127
hotel,125
though,125
wonderful,125
enjoyed,125
store,124
into,123
recommended,122
outside,121
kind,121
tea,120
tables,120
re,120
evening,120
nothing,120
chips,119
dishes,119
sauce,118
pub,118
happy,118
pizza,117
team,117
different,116
disappointed,116
city,115
want,115
where,115
took,115
street,114
looked,114
without,113
customers,112
family,111
pay,110
tried,110
venue,110
stay,110
enough,110
centre,110
burger,109
need,108
cold,108
flavour,108
told,108
portion,107
whole,106
his,106
value,106
each,106
loved,106
think,106
high,106
available,105
another,105
know,105
am,104
last,104
rice,104
anyone,103
dish,101
music,100
m,100
station,99
decent,99
plenty,99
gave,99
don't,99
d,96
birthday,96
bad,96
give,96
home,96
lots,95
should,95
through,95
polite,94
arrived,94
fries,94
large,94
presented,93
look,93
member,92
choice,92
space,91
care,91
must,90
tasted,90
don,89
enjoy,89
welcome,89
done,89
extremely,89
truly,89
portions,89
incredibly,89
i've,89
dining,88
thanks,88
use,87
perfectly,87
found,87
wanted,87
years,86
honestly,86
beer,86
variety,86
friend,86
extra,86
side,85
having,85
lady,85
everyone,84
manager,84
exceptional,84
during,84
open,83
ll,83
rude,82
put,80
recently,80
can't,80
cocktails,79
rooms,79
you're,79
size,79
comfortable,79
fast,79
wasn,79
soon,78
parking,78
main,78
waiting,78
