restaurant_name,rating,total_ratings,address,latitude,longitude,place_id,opening_hours,review_author,review_rating,review_text,review_time,review_language
Malmaison Birmingham,4.2,1908,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Nikita Cranston,5,"I only booked a night here for after the Kendrick Lamar concert. But it was an excellent stay. The rooms were amazing. I actually got a free upgrade! The room was spacious, they had all the right amenities, including free bottled water. The hotel is located right by the train station so it’s really easy to get to. The service was excellent from the front desk and the hospitality staff. The breakfast was great too, I liked that it has both a continental buffet and cooked options you can choose from. The choices are a bit limited but most people will find something they’ll like. If I come back to Birmingham, I’ll be staying again.",2025-07-12 10:24:51,en
Malmaison Birmingham,4.2,1908,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Pri,4,10/10 for the location just minutes away from China town train station birmingham city centre stayed for 2nights. Room was clean bed is so good pillows were a bit soft but overall a great night sleep 😴. Woke up too late to go downstairs for breakfast so we ordered room service was worth every £. Overall stay 9/10. Will recommend ✨♥️🥂,2025-07-19 20:27:29,en
Malmaison Birmingham,4.2,1908,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Sahlin Abdulhamid,5,"Amazing Stay at Malmaison Birmingham!

I recently stayed at Malmaison Birmingham for two nights and had a truly wonderful experience. From the moment I arrived, the staff were incredibly friendly, welcoming, and professional they really set the tone for a great stay.

The room was spotless, stylish, and very comfortable. Everything felt fresh and well-maintained, making it easy to relax. I was also impressed with the breakfast a fantastic spread with delicious options that really exceeded expectations.

The location couldn’t be better right in the heart of Birmingham, making it super convenient to get around and explore the city. Everything was easy to find and navigate.

The only small suggestion I’d make is that I would have appreciated being told about the spa services at check-in. I only found out about them through the in room leaflet, and it would’ve been great to know earlier to plan ahead.

Overall, an amazing stay and I’d happily return. Highly recommended!",2025-05-18 23:21:41,en
Malmaison Birmingham,4.2,1908,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",David WALKER,4,"Rooms are clean and spacious but dark and decorated contemporary. No drawer storage but as 2 night stay no real issue as wardrobe has shelves. Safe in the room is digital and bathroom is well lit and spacious. I ate in the restaurant and my meal was served without fries  which came when I asked for them, but my meal was only warm by then. I asked for it to be replaced which it was after a heated exchange. The replacement meal was piping hot and a complimentary drink offered by means of apology which I declined as the meal was put right.
The restaurant management were polite and courteous at all times after the meal was replaced so I was happy.",2025-06-07 10:17:34,en
Malmaison Birmingham,4.2,1908,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Yameen Rasul,3,"The service at breakfast depends on who you are. I have seen a bias on even taking orders based on the people that are at the table. Breakfast the first morning had to be returned as it had clearly been left under heat lamp for too long and made the eggs rubbery. However they did make something fresh. It may be a particular shift/members of staff but there is a definite lack of care and ambivalence to the guests at breakfast both days I was staying here.
The room was great, excellent sanctuary from whatever has dragged you to Birmingham. I am staying during a heatwave and the aircon in the room was a life saver. Spacious big bed and room, fridge, tea and coffee facilities. No bottled water in room, which is fine for me, but I know sometimes is nice to have.

I would probably stay here again but just know that service in the restaurant/breakfast is not something to expect much from",2025-07-12 10:02:23,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1187,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,Trusted One,4,"Room was affordable and comfortable.
Did inform staff that the extractor fan for bathroom wasn't working, so it was like being in the amazon rain forest for many hours post shower.

Location of the area does require you to have your wits about you approaching the night.",2025-07-21 08:53:09,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1187,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,J W,4,"A brilliant stay. Room is modern (although the TV could do with a little update) and super clean.

I stayed after a busy bank holiday weekend and although clean and tidy, it felt the bed making was perhaps rushed but still nothing to be picky about.

The aircon was amazing! Some of the best and quickest to cool a room.

The bed comfortable and the shower hot (although not the most amazing pressure).

It was quiet in the hotel and breakfast is down in the attached restaurant which I’ve reviewed separately.",2025-05-27 12:16:12,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1187,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,Chris Bell,5,"Stopped in just to get a breakfast as was staying in a TL and theirs aren't as good but cost almost as much. The staff were friendly and efficient. Food was excellent. Everything cooked perfectly, fully stocked, and being regularly refilled with fresh. Both scrambled and fried eggs cooked perfectly. Decent unlimited coffee. Plus I think you can have up to two kids free with an adult so potentially less than £4 per person.",2025-03-26 18:48:31,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1187,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,Jane Holmes,5,"The staff are very friendly and helpful. The room I had was really quiet and very clean. There was ample tea, coffee and milk in the room and plenty more if required in the reception area. The resturant for breakfast was excellent, plenty of cereals, breads and the cooked breakfast smelled lovely (I didn't have that). It is nice that in the evening you can get a drink and the surroundings are favourable for relaxing with nice lighting.",2025-03-12 22:19:44,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1187,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,Tanya Dullenty,5,"Stayed here for the first time while in Birmingham. I had read previous reviews and took with a pinch of salt.
The room was absolutely beautiful for standard. Wasn't that bothered about the view since the curtains would be closed anyway!
Food in the attached restaurant was top quality and definitely value for money. For £30, it includes unlimited breakfast and a evening meal deal comprising of either starter and main OR main and dessert. I chose starter (beef burnt ends) and main (8oz rump with chips) and includes a drink. WOW!
* * * * *",2025-02-04 17:15:44,en
