place_id,restaurant_name,address,avg_rating,total_ratings,avg_sentiment_compound,total_reviews,positive_review_count,negative_review_count,neutral_review_count,latitude,longitude,opening_hours,all_review_texts,positive_ratio,negative_ratio,food_type_tags,priority_tags,tfidf_keywords,all_keywords_for_recommendation
ChIJ--szq4q8cEgRY1mHMXBEuKk,Keg & Grill,"20 Suffolk St, Birmingham B1 1LW, UK",4.4,559.0,0.96492,5,5,0,0,52.47627199999999,-1.9015648,N/A,"Popped in here for a Mixed Grill, and the food, service, and beer were all decent. The food was that good, we surprised ourselves by finishing it all off and not taking any home with us like we normally do.

There was that traditional desi pub ambience, but it was surprisingly quiet for a city centre eatery. I was there from before 7pm to after 8pm on a Thursday evening, and in that entire time there were only two other customers in there, who were just having a few drinks.

I rang them a few days beforehand and I was assured they use meat which is NOT produced in accordance with any religious faith. Sampled the veg mixed grill platter and was very impressed. Very tasty indeed.

***

Went to sample the food. The Saag was lovely and flavourful and the meat grill platter was also good. All in all, a nice mid week treat.

***
Used to be Jungle Bird before it closed permanently and saw that it’s now a new place so got curious and popped in for a drink. Didn’t eat so can’t comment on the food. People are super friendly though and love seeing a selection of beer on draft that you don’t tend to see elsewhere. A chilled place to hangout and watch a bit of sport. Will 100% come back to try the food. Fabulous wraps and masala chips - had a peel at the next tables curries -they also looked brilliant, lovely friendly staff. Hopefully this place will get as popular as their old premises - it was a bit lacking in atmosphere due to lack of customers - well worth trying and I’m sure it will soon be a must go to place. Quite a simple pub, serving excellent Indian food, with good service.
The menu is board and each item I had was good in it's own right. They were happy to customise the grill to my taste, and enquired if it was fine.
Good job. Its a busy place booking a table would be smart. I came here with a group of my friends and family about 20 of us for a get together for his pre wedding party , and considering how busy and packed it was they was still able to get a table for us  20 people and rearrange tables for us . The service and staff was outstanding and amazing and really welcoming also I’ve been to many bar & mix grill places and this probably has to be one of the top 10 by far in Birmingham that I’ve been to . They have a really good selections of beers and ales and also ciders , and quality  selection of the spirits from top spirits to standard classics , also a great mix of shooters . I would definitely recommend this place to anyone who loves a mix grill and curries the flavours of each one honestly is spot on all thanks to the amazing chefs .",1.0,0.0,"[""Indian"", ""Cafe"", ""Bar/Pub"", ""Fast Food"", ""Ethiopian""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Cleanliness"", ""Drinks"", ""Emotional Tone"", ""Recommendation Tendency""]","['grill', 'mix grill', 'grill platter', 'mix', 'mixed grill', 'spirits', 'curries', 'platter', 'mixed', 'popped']","[""Ethiopian"", ""Bar/Pub"", ""Recommendation Tendency"", ""spirits"", ""Service"", ""mix"", ""Food Quality"", ""Atmosphere"", ""grill platter"", ""curries"", ""mix grill"", ""Cleanliness"", ""Cafe"", ""mixed"", ""grill"", ""mixed grill"", ""Emotional Tone"", ""Drinks"", ""Fast Food"", ""platter"", ""popped"", ""Indian""]"
ChIJ-0Qa7su9cEgRBb-hKW9sRqI,Bournbrook Pavilion,"48 Aston Webb Blvd, Birmingham B15 2GR, UK",4.4,21.0,0.5235,5,3,0,2,52.4473609,-1.93357,"[""Monday: Closed"", ""Tuesday: 12:00 – 9:00 PM"", ""Wednesday: 12:00 – 9:00 PM"", ""Thursday: 12:00 – 9:00 PM"", ""Friday: 12:00 – 9:00 PM"", ""Saturday: 12:00 – 9:00 PM"", ""Sunday: Closed""]","Staff very helpful, great food and clean modern venue

Held a corporate event here and can't fault the service provided by Liam and the team. Would definitely recommend to anyone looking for a function venue in the centre of Birmingham. The only warning I would put out is don't park in the multi storey campus car park which I did by mistake as there is free venue parking at weekends... Multi storey is £25 to park here on a Sunday afternoon. Thankfully Liam sorted this out for us but I was stunned at the rate being demanded.

As for the Pavilion, as a said - staff were all very helpful and friendly. The food was great for both flavour and quantity. The room arrangement worked really well - bar area with separate room to sit and eat. Toilets were also within booked area so didn't have to go out to public space and that helped make  the event feel very private.

8 would recommend and use again.... The Bournbrook Pavilion is the University of Birmingham residence hall that is closest to the university. And it is situated in the Selly Oak village. Selly Oak is known as a student town. A variety of student eateries and stores are within walking distance. The hostel is close to Aldi, Tesco, and Sainsbury's supermarkets. Bournbrook Pavilion is about 300-200 metres away from the University of Birmingham. Nice simple food, cost effective lunch, quick service and nice staff. I can see me spending a fortune here because of its close proximity. Friendly staff. Great Bacon Bap & Caramel frappé.. V.clean. XX Coffee was basically rusty water, windows were leaking in the rain and AC made it far too cold.",0.6,0.0,"[""Cafe"", ""Bar/Pub"", ""Breakfast""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Cleanliness"", ""Location"", ""Waiting Time"", ""Drinks"", ""Experience"", ""Booking/Entry"", ""Recommendation Tendency""]","['university', 'multi storey', 'liam', 'storey', 'park', 'multi', 'university birmingham', 'venue', 'staff helpful', 'event']","[""Bar/Pub"", ""university"", ""venue"", ""Recommendation Tendency"", ""Service"", ""university birmingham"", ""Breakfast"", ""liam"", ""multi"", ""Food Quality"", ""Atmosphere"", ""storey"", ""Waiting Time"", ""multi storey"", ""Location"", ""Cleanliness"", ""Cafe"", ""Booking/Entry"", ""staff helpful"", ""event"", ""Drinks"", ""park"", ""Value"", ""Experience""]"
ChIJ-7JmFwC9cEgRoeM4t9QclEk,Waki Maki,"Guild of Students, Edgbaston Park Rd, Birmingham B15 2TU, UK",3.4,7.0,0.11510000000000001,5,2,1,2,52.4492778,-1.9276359,"[""Monday: 12:00 – 2:00 PM"", ""Tuesday: 12:00 – 2:00 PM"", ""Wednesday: 12:00 – 2:00 PM"", ""Thursday: 12:00 – 2:00 PM"", ""Friday: 12:00 – 3:00 PM"", ""Saturday: Closed"", ""Sunday: Closed""]","Delicious and cheap! It’s like subway but with sushi rolls and bowls. Loads of vegan options, fake hoisin duck is unreal. Server was Ruby who was really kind and chatty and gave good recommendations! HORRIBLE FOOD! Cold breaded chicken. Thai tofu is disaster.
First time I want vomit due to food tasting. Ordered tofu and was served Quorn. Food was incredibly salty & couldn’t finish Excellent service from Timothy. Halal food aswell. nan",0.4,0.2,"[""Japanese"", ""Vegetarian/Vegan"", ""Thai""]","[""Service"", ""Food Quality"", ""Value"", ""Dietary Options"", ""Emotional Tone"", ""Recommendation Tendency""]","['tofu', 'timothy', 'sushi rolls', 'salty couldn', 'incredibly salty', 'finish excellent', 'chatty gave', 'fake', 'ruby', 'breaded']","[""chatty gave"", ""Recommendation Tendency"", ""ruby"", ""Service"", ""tofu"", ""Dietary Options"", ""Food Quality"", ""timothy"", ""breaded"", ""fake"", ""Japanese"", ""incredibly salty"", ""finish excellent"", ""Thai"", ""Vegetarian/Vegan"", ""Emotional Tone"", ""sushi rolls"", ""Value"", ""salty couldn""]"
ChIJ-7P4Luy8cEgREshdPMxKBhQ,The Jewellery Quarter Birmingham,"309f, 120 Vyse St, Birmingham B18 6NF, UK",4.6,19.0,0.85252,5,5,0,0,52.4875892,-1.911994,"[""Monday: 9:00 AM – 4:00 PM"", ""Tuesday: 9:00 AM – 4:00 PM"", ""Wednesday: 9:00 AM – 4:00 PM"", ""Thursday: 9:00 AM – 4:00 PM"", ""Friday: 9:00 AM – 4:00 PM"", ""Saturday: Closed"", ""Sunday: Closed""]","I did get a little lost walking from the city centre out to the Jewellery Quarter but I was glad that I made the effort,
This is definitely the place to come if you want expert advice and high quality products.
I visited the area on a sunny Saturday when it was very busy - cafes were packed and there was also an artisan market doing a roaring trade. Fab area. Visited the coffin museum and the jewellery shops.  Great vibes, lots of eateries and coffee shops. A place of men wandering on their own through a jungle of shiny things, looking a bit lost. Having said that, this is the place to go to get a good value, quality engagement ring. I ended up going with a bespoke shop elsewhere for the ring design but I bought the diamond in Birmingham. Although some are a little pushy, most of the shop assistants have the right level of patience to deal with (largely) men who just want the experience to end.

My advice to engagement ring shoppers would be to look around for half hour or so and then console yourself with a beer in one of the conveniently located pubs! Wonderful place and experience! Loads of expert independent jewellers and valuers.
I used 'Marlows' who were outstandingly helpful, Special thanks to Leighanne. Great place to find quality jewellery at good prices with a vast range of gold and diamonds",1.0,0.0,"[""Cafe"", ""Bar/Pub""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Location"", ""Drinks"", ""Experience""]","['ring', 'jewellery', 'expert', 'men', 'lost', 'advice', 'shops', 'quality', 'area sunny', 'area visited']","[""jewellery"", ""Bar/Pub"", ""expert"", ""quality"", ""Service"", ""Food Quality"", ""Atmosphere"", ""shops"", ""ring"", ""Location"", ""Cafe"", ""advice"", ""men"", ""area visited"", ""area sunny"", ""Drinks"", ""Value"", ""Experience"", ""lost""]"
ChIJ-U3QtrK9cEgRLATZo_nl3IQ,Vietnamese Street Kitchen,"Bullring, St Martins Square, Birmingham B5 4BW, UK",4.5,1778.0,0.96494,5,5,0,0,52.477379,-1.8931806,"[""Monday: 12:00 – 10:00 PM"", ""Tuesday: 12:00 – 10:00 PM"", ""Wednesday: 12:00 – 10:00 PM"", ""Thursday: 12:00 – 10:00 PM"", ""Friday: 12:00 – 10:30 PM"", ""Saturday: 12:00 – 10:30 PM"", ""Sunday: 12:00 – 10:00 PM""]","The experience was perfect, nice weather the food came really quick, fresh and flavourful. It was my first time and I loved it here definitely will be back soon. The portion sizes are big worth the price aswell. Great customer service. We had a lovely family meal at Vietnamese Street Kitchen and really enjoyed the experience overall. The atmosphere was lively and welcoming, with stylish décor that gave a nice modern twist to traditional Vietnamese vibes.

The food was flavourful and well-presented, though it did take a bit of time to arrive. Prices were a little on the higher side for a casual meal, but the quality of the food made up for it.

For starters, my wife and I shared the chicken mango salad and duck dumplings. Both dishes were fresh, full of flavour, and nicely balanced — a great way to start the meal. The kids were happy with their chicken mains served with chips and salad — simple but tasty and well portioned.

For mains, I went for the Bun-Cha-Ha-Noi, which included fresh rice noodles, thinly sliced pork, king prawn meatballs, and a traditional spring roll. It was a delicious combination of textures and flavours. My wife had the grilled lemongrass chilli chicken — flame-grilled thighs marinated in a fragrant chilli blend — and she really enjoyed the spicy kick.

Overall, a great spot for something a bit different. We’d return again, especially for the unique flavours. Great service and amazing food. We were served quickly, and the food was really high quality with fantastic flavour. Recommend trying the cocktail of the month, this month's was great! We thoroughly enjoyed our night out at the Vietnamese Street Kitchen while attending an event in Birmigham. The food was delicious with lots of options and the staff were very helpful. The atmosphere was really good too. Will definitely be returning if we've business in Birmingham again We came here for lunch. We choose this place because there were plenty of vegetarian options. We chose al vegetarian starters on the menu and all of them were delicious! We also loved the fresh original lemonade. The restaurant itself was cozy and the staff were very friendly. We recommend this place.",1.0,0.0,"[""Chinese"", ""Burger"", ""Bar/Pub"", ""Fast Food"", ""Vegetarian/Vegan"", ""Vietnamese"", ""Spanish""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Experience"", ""Portion Size"", ""Dietary Options"", ""Ventilation/AC"", ""Emotional Tone"", ""Recommendation Tendency"", ""Special Occasion""]","['vietnamese', 'fresh', 'chilli', 'grilled', 'flavourful', 'starters', 'enjoyed', 'mains', 'traditional', 'vegetarian']","[""vietnamese"", ""Bar/Pub"", ""Recommendation Tendency"", ""Service"", ""traditional"", ""grilled"", ""Dietary Options"", ""Food Quality"", ""Atmosphere"", ""enjoyed"", ""mains"", ""Ventilation/AC"", ""Portion Size"", ""fresh"", ""flavourful"", ""Vegetarian/Vegan"", ""Emotional Tone"", ""Fast Food"", ""Spanish"", ""Vietnamese"", ""chilli"", ""Chinese"", ""Special Occasion"", ""Value"", ""vegetarian"", ""starters"", ""Burger"", ""Experience""]"
ChIJ-UZ-oom8cEgRG4ARPLXlDCE,The Sunflower Lounge,"76 Smallbrook Queensway, Birmingham B5 4EG, UK",4.3,702.0,0.8581799999999999,5,5,0,0,52.4762068,-1.8975188,"[""Monday: Closed"", ""Tuesday: 4:00 – 11:00 PM"", ""Wednesday: 4:00 – 11:00 PM"", ""Thursday: 4:00 – 11:00 PM"", ""Friday: 12:00 PM – 1:00 AM"", ""Saturday: 12:00 PM – 1:00 AM"", ""Sunday: Closed""]","Staff gave a chair for my partner who needed to sit down. Acoustics were good. Glad both doors were open due to no other ventilation or air conditioning. Good priced drinks also. Chris and Ed were absolutely exceptional! Chris especially gave recommendations and remembered out order! Chris was amazing at handling the bar and was a great chat! Would definitely recommend sunflower lounge and Chris as a bar tender! Thank you so much Chris! You’re the best! Was surprised at how small this little hidden gem was.  We went to see Casey McQuillen on the last night of her tour.  It was friendly, felt safe and was a really fun and cosy venue to see emerging artists perform.  Drinks were priced well but standing up all night was tough on my back but didn’t spoil the night for me. I love this place, the best indie gigs and the staff are always so friendly. £7.20 for 2 long drinks with a student discount is great 💯 brilliant little bar, ended up seeing a gig there too. made me feel very welcome in birmingham, really nice staff and they even took some requests for tunes. will definitely be back if i’m in the city again!",1.0,0.0,"[""Cafe"", ""Bar/Pub""]","[""Service"", ""Value"", ""Location"", ""Drinks"", ""Experience"", ""Portion Size"", ""Sound/Noise"", ""Ventilation/AC"", ""Emotional Tone"", ""Recommendation Tendency""]","['chris', 'bar', 'night', 'priced', 'drinks', 'needed sit', 'ed', 'friendly felt', 'night best', 'small little']","[""ed"", ""friendly felt"", ""Bar/Pub"", ""drinks"", ""Experience"", ""Recommendation Tendency"", ""needed sit"", ""Service"", ""night"", ""night best"", ""bar"", ""Ventilation/AC"", ""Portion Size"", ""Location"", ""Cafe"", ""priced"", ""small little"", ""Sound/Noise"", ""Emotional Tone"", ""Drinks"", ""Value"", ""chris""]"
ChIJ-UrS84u8cEgRGtLM1_ZlAn8,YO! Birmingham Grand Central,"Unit MK9, Grand Central, Stephenson Pl, Birmingham B2 4BQ, UK",4.2,812.0,0.6077199999999999,5,4,1,0,52.4782732,-1.8982206,"[""Monday: 11:00 AM – 9:00 PM"", ""Tuesday: 11:00 AM – 9:00 PM"", ""Wednesday: 11:00 AM – 9:00 PM"", ""Thursday: 11:00 AM – 9:00 PM"", ""Friday: 11:00 AM – 9:00 PM"", ""Saturday: 11:00 AM – 9:00 PM"", ""Sunday: 11:00 AM – 6:00 PM""]","Food was decent, not a great selection available but when we asked for something it was made quickly. The biggest down side was the service, the chef had to greet us because no-one else was available, after we were sat down no-one came to take our drinks order and when I went to ask I was surprised when the guy sat at the bar picked up a tablet and offered to take my order, he looked like a customer!
All in all it was ok but not sure I’d repeat the experience. Dessert was amazing though. I went for the Bottomless Belt today, and it was my first time visiting. No complaints about the quality of the food, which was made to a high standard. However, a member of staff clearly told me that I could order select items like gyoza, katsu curry etc off the menu as part of the bottomless belt.

Unfortunately, when I came to order these items, another member of staff apologised and said the policy had changed, and I would only have the cold options on the belt. This left me disappointed, as I wouldn’t have the same experience I could’ve had months earlier. In addition the belt options were basically variations of the same thing. Salmon on rice (nigiri), salmon in rice (futomaki) or salmon on its own (sashimi). I saw Edamame once (I managed to nab it), and waited almost an hour for desserts to roll out.

When it came to settling my bill, I was almost overcharged by £10 on the service fee, something I was not made aware of beforehand either online or in person. When I politely contested the charge, it was edited before my eyes to £2.25. Even this amount was too much, as I only wished to pay £29.95. Considering the mistakes made, I did not believe a service charge was warranted.

All in all, this experience has dissuaded me from bringing my family here in the future, and I hope you can look into some of these issues as it may hinder return visits. The food was great and the experience and people are amazing only thing I’d say is bring some water and service one in the session was slow for us but the food and making experience is beginner friendly and memorable The staff here are friendly and their service is excellent. Food is good but portions are small, so you buy more then suddenly it's very expensive... But if you can do maths before you order, then you will probably enjoy it here. Overall the food is very good. It's always fresh and tasty but the portion sizes are small and quite expensive. It's very nice for a special occasion or a light lunch.

The restaurant is clean and tidy and the food is easy to order via the QR code.

It's well worth a visit if you like Japanese Food but be prepared to be hungry an hour after you eat

Also...There is a service charge added to your bill as standard. Although i believe in tipping when service is good i don't think it should be expected.",0.8,0.2,"[""Indian"", ""Japanese"", ""Bar/Pub"", ""Dessert"", ""Seafood""]","[""Service"", ""Food Quality"", ""Value"", ""Cleanliness"", ""Waiting Time"", ""Drinks"", ""Experience"", ""Portion Size"", ""Communication/Responsiveness"", ""Emotional Tone""]","['belt', 'salmon', 'charge', 'service charge', 'service', 'bottomless', 'experience', 'member staff', 'believe', 'sat']","[""bottomless"", ""sat"", ""belt"", ""experience"", ""Bar/Pub"", ""Communication/Responsiveness"", ""Service"", ""Dessert"", ""service charge"", ""believe"", ""Food Quality"", ""member staff"", ""Waiting Time"", ""Portion Size"", ""Japanese"", ""Cleanliness"", ""Emotional Tone"", ""salmon"", ""Drinks"", ""Seafood"", ""service"", ""charge"", ""Indian"", ""Value"", ""Experience""]"
ChIJ-XpOK4i8cEgRdc9nudYentw,The Arcadian by M,"70 Hurst St, Birmingham B5 4TD, UK",4.1,4880.0,0.88724,5,5,0,0,52.4748655,-1.8968819,"[""Monday: 9:00 AM – 12:00 AM"", ""Tuesday: 9:00 AM – 12:00 AM"", ""Wednesday: 9:00 AM – 12:00 AM"", ""Thursday: 9:00 AM – 12:00 AM"", ""Friday: 9:00 AM – 2:00 AM"", ""Saturday: 9:00 AM – 2:00 AM"", ""Sunday: 9:00 AM – 12:00 AM""]","I only can recommend this restaurant,  it is  amazing,  delicious food prepared front of you. The chef was kind , funny and skillful! I will go back ! A Clubbers Paradise. Not cheap but if your looking for a good place to start your night out in Birmingham,this is it.

20min walk to Broad Street. (Clubs)
7 min walk to Digbeth. (Pubs)

Surrounded by food, buffets. In China Town. Right by the hippodrome and Gay Village.

Never a dull moment. Check it out. Seafood City 😋  the food was awesome 👌 absolutely we will come back there again... This combo
Don't Be Shellfish
Lobster tail, 10 king prawns, 10 fresh mussels, red roast potatoes, 2 corn on the cob, and 2 pieces of garlic bread really excellent... Service 5* Food 5* Ambience 5*.... ❣️💚❣️ Best place to be if you craving some good authentic Asian food, lots of lovely restaurants and grocery stores We went to Seafood City on 17.9.24. The atmosphere was great, the staff were super helpful, friendly and professional.
We ordered the sharing platter and wow, what a selection. It was fresh, tasty  and I would highly recommend it.
I will say, it wasn't quite as hot as I would have liked and the chairs are soo uncomfortable. Next time, I'll take a cushion 🤣🤭",1.0,0.0,"[""Cafe"", ""Bar/Pub"", ""Seafood"", ""Ethiopian""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Cleanliness"", ""Experience"", ""Seating/Comfort"", ""Ventilation/AC"", ""Emotional Tone"", ""Recommendation Tendency""]","['seafood', 'walk', 'really excellent', 'paradise', 'cob', 'clubs', 'service ambience', 'min walk', 'chef kind', 'shellfish']","[""Ethiopian"", ""chef kind"", ""Bar/Pub"", ""Recommendation Tendency"", ""clubs"", ""Service"", ""walk"", ""Food Quality"", ""Atmosphere"", ""Ventilation/AC"", ""Seating/Comfort"", ""service ambience"", ""Cleanliness"", ""Cafe"", ""shellfish"", ""cob"", ""Emotional Tone"", ""Seafood"", ""seafood"", ""really excellent"", ""min walk"", ""paradise"", ""Value"", ""Experience""]"
ChIJ-XpOK4i8cEgRvtYKoVoBxbE,Dezhou Style Braised Chicken 德州扒鸡,"B109, Arcadian Centre, 70 Hurst St, Birmingham B5 4TD, UK",4.7,414.0,0.9502200000000001,5,5,0,0,52.474923,-1.8958514,"[""Monday: 12:00 – 10:00 PM"", ""Tuesday: Closed"", ""Wednesday: 12:00 – 10:00 PM"", ""Thursday: 12:00 – 10:00 PM"", ""Friday: 12:00 – 10:00 PM"", ""Saturday: 12:00 – 10:00 PM"", ""Sunday: 12:00 – 10:00 PM""]","Very quick easy cheap incredible food.
Noodles are tasty and great texture and fresh.
Tried a cold and hot tea, cold tea was the one for me. The soup was really good also. Visited here before the theatre for some hand stretched noodles and to try some Dezhou chicken. The restaurant is very small but service is fast. Noodles are super tasty and the Dezhou chicken melted like butter and was so full of flavour. This is a must visit spot if you are in the area and love noodles Braised chicken is a must-try! The biangbiang noodles are also fantastic and the perfect chewy texture. Even better with black vinegar. Love this place and the friendly staff! The highlight was definitely the fresh-made noodles they were delicious, with a perfect texture and rich flavor. The quality of the food stood out, and you could tell it was freshly prepared. Beyond the great food, the service was excellent. The staff was attentive, friendly, and made the experience even more enjoyable. Overall, it was a fantastic dining experience, and l'd highly recommend it to anyone looking for authentic, flavorful noodles and great service. Humble noodle shop in Birmingham Chinatown …Authentic Hand Pulled Noodles with Excellent melt in the mouth Braised Chicken..Tofu Veg  Biang Biang noodles were delicious as well..Homely and friendly service..bang on the buck.",1.0,0.0,"[""Chinese""]","[""Service"", ""Food Quality"", ""Value"", ""Drinks"", ""Experience"", ""Portion Size"", ""Ventilation/AC"", ""Emotional Tone"", ""Recommendation Tendency""]","['noodles', 'texture', 'braised chicken', 'braised', 'chicken', 'hand', 'authentic', 'tea', 'tea cold', 'stretched']","[""braised chicken"", ""Recommendation Tendency"", ""stretched"", ""Service"", ""Food Quality"", ""chicken"", ""Ventilation/AC"", ""noodles"", ""Portion Size"", ""hand"", ""tea cold"", ""Emotional Tone"", ""Drinks"", ""texture"", ""braised"", ""Chinese"", ""authentic"", ""Value"", ""Experience"", ""tea""]"
ChIJ-YgObry9cEgR4XVvp3vEre4,Pizza Express,"153-155 High St, Harborne, Birmingham B17 9QE, UK",4.2,724.0,0.94252,5,5,0,0,52.458845,-1.9492,"[""Monday: 11:30 AM – 9:30 PM"", ""Tuesday: 11:30 AM – 9:30 PM"", ""Wednesday: 11:30 AM – 9:30 PM"", ""Thursday: 11:30 AM – 10:00 PM"", ""Friday: 11:30 AM – 11:00 PM"", ""Saturday: 11:30 AM – 11:00 PM"", ""Sunday: 11:30 AM – 9:30 PM""]","Sat outside in the garden, perfect weather for it. Great food and the staff were polite and accomodating. Liv, our waitress was lovely and ensured that we were okay with our food. We had a birthday party here, the kids loved making the pizzas bases and adding there favourite toppings. The staff were very accommodating, understanding, polite would definitely recommend Great Evening Meal. Food was good.
Raffaele gave us great service and looked after us really well.
Recommended place for a nice meal. We went to celebrate birthday and Shemela (staff) offered best hospitality and also assisted us on using the app for discounts. Very delicious and fresh pizza. Will again visit and special thanks to her, for making our evening meal more memorable. May 2025:
Back again to Pizza Express in Har borne, and once again the food was exceptional as was the service from Naisha who was friendly, attentive and very helpful.  She is a credit to Pizza Express in Harborne and produced a work of art for our desserts!

March 2025:
A delightful lunch time treat at the always atmospheric Pizza Express in Harborne. Staff were exceptionally friendly, particularly Emma. My dough balls and Giadinera were delicious as was my biscoff sundae (which is must for dessert lovers)! Will be returning soon!",1.0,0.0,"[""Italian"", ""Mediterranean"", ""Dessert""]","[""Service"", ""Food Quality"", ""Waiting Time"", ""Experience"", ""Seating/Comfort"", ""Emotional Tone"", ""Recommendation Tendency"", ""Special Occasion""]","['pizza express', 'pizza', 'express', 'harborne', '2025', 'birthday', 'really recommended', 'dessert lovers', 'thanks making', 'sundae dessert']","[""birthday"", ""Italian"", ""2025"", ""Recommendation Tendency"", ""sundae dessert"", ""Service"", ""Mediterranean"", ""really recommended"", ""Dessert"", ""Food Quality"", ""pizza"", ""Seating/Comfort"", ""Waiting Time"", ""thanks making"", ""Emotional Tone"", ""dessert lovers"", ""harborne"", ""express"", ""pizza express"", ""Special Occasion"", ""Experience""]"
