config,baseline,overlap_at_topN,spearman
M25_S0.2_B0.01_Cap0.1_H5,M25_S0.2_B0.01_Cap0.1_H5,1.0,1.0
M25_S0.2_B0.01_Cap0.15_H5,M25_S0.2_B0.01_Cap0.1_H5,1.0,1.0
M25_S0.2_B0.01_Cap0.2_H5,M25_S0.2_B0.01_Cap0.1_H5,1.0,1.0
M25_S0.2_B0.01_Cap0.25_H5,M25_S0.2_B0.01_Cap0.1_H5,1.0,1.0
M25_S0.2_B0.01_Cap0.3_H5,M25_S0.2_B0.01_Cap0.1_H5,1.0,1.0
M25_S0.2_B0.03_Cap0.1_H5,M25_S0.2_B0.01_Cap0.1_H5,0.97,0.998
M25_S0.2_B0.03_Cap0.15_H5,M25_S0.2_B0.01_Cap0.1_H5,0.92,0.995
M25_S0.2_B0.03_Cap0.2_H5,M25_S0.2_B0.01_Cap0.1_H5,0.92,0.995
M25_S0.2_B0.03_Cap0.25_H5,M25_S0.2_B0.01_Cap0.1_H5,0.92,0.995
M25_S0.2_B0.03_Cap0.3_H5,M25_S0.2_B0.01_Cap0.1_H5,0.92,0.995
M25_S0.2_B0.05_Cap0.1_H5,M25_S0.2_B0.01_Cap0.1_H5,0.96,0.996
M25_S0.2_B0.05_Cap0.15_H5,M25_S0.2_B0.01_Cap0.1_H5,0.92,0.992
M25_S0.2_B0.05_Cap0.2_H5,M25_S0.2_B0.01_Cap0.1_H5,0.84,0.985
M25_S0.2_B0.05_Cap0.25_H5,M25_S0.2_B0.01_Cap0.1_H5,0.82,0.98
M25_S0.2_B0.05_Cap0.3_H5,M25_S0.2_B0.01_Cap0.1_H5,0.82,0.98
