word,frequency
food,1639
staff,1183
great,1100
service,1068
good,945
place,782
really,747
friendly,718
nice,624
time,607
experience,594
would,540
lovely,523
back,498
like,482
recommend,481
amazing,473
made,457
one,451
also,449
well,428
definitely,423
coffee,394
birmingham,373
atmosphere,356
always,355
get,352
even,351
delicious,345
drinks,335
absolutely,311
visit,305
restaurant,293
went,290
order,288
best,288
chicken,283
ordered,273
quality,270
highly,265
could,255
customer,249
menu,248
helpful,245
come,245
came,244
excellent,236
fresh,234
first,233
much,233
people,231
got,231
little,226
feel,225
meal,224
overall,223
bar,223
clean,222
thank,221
bit,218
perfect,213
hot,211
drink,210
served,210
day,209
everything,206
better,204
area,203
try,200
love,200
night,198
fantastic,195
table,191
busy,189
breakfast,189
room,189
shop,187
taste,184
every,182
see,181
price,180
around,179
small,179
attentive,178
tasty,177
welcoming,174
never,174
make,173
warm,173
work,171
cafe,168
new,165
quite,164
prices,164
especially,162
right,160
location,158
next,157
however,157
super,155
quick,155
say,152
spot,152
full,151
way,150
away,150
visited,150
two,149
worth,147
going,146
inside,145
looking,144
said,144
special,144
big,143
sure,143
wait,141
making,141
coming,140
take,140
still,140
options,138
top,137
find,136
asked,135
eat,135
many,135
ever,134
today,134
minutes,133
lunch,132
money,131
cooked,130
seating,129
friends,129
felt,128
something,128
free,128
left,128
selection,128
beautiful,128
times,128
long,127
hotel,125
though,125
wonderful,125
enjoyed,125
store,124
recommended,122
outside,121
kind,121
tea,120
tables,120
evening,120
nothing,120
chips,119
dishes,119
sauce,118
pub,118
happy,118
pizza,117
team,117
different,116
disappointed,116
city,115
want,115
took,115
street,114
looked,114
without,113
customers,112
family,111
pay,110
tried,110
venue,110
stay,110
enough,110
centre,110
burger,109
need,108
cold,108
flavour,108
told,108
portion,107
whole,106
value,106
loved,106
think,106
high,106
available,105
another,105
know,105
last,104
rice,104
anyone,103
dish,101
music,100
station,99
decent,99
plenty,99
gave,99
birthday,96
bad,96
give,96
home,96
lots,95
polite,94
arrived,94
fries,94
large,94
presented,93
look,93
member,92
choice,92
space,91
care,91
must,90
tasted,90
enjoy,89
welcome,89
done,89
extremely,89
truly,89
portions,89
incredibly,89
dining,88
thanks,88
use,87
perfectly,87
found,87
wanted,87
years,86
honestly,86
beer,86
variety,86
friend,86
extra,86
side,85
lady,85
everyone,84
manager,84
exceptional,84
open,83
rude,82
put,80
recently,80
can't,80
cocktails,79
rooms,79
size,79
comfortable,79
fast,79
soon,78
parking,78
main,78
waiting,78
ask,78
given,77
lot,77
reasonable,77
hard,77
meat,76
check,76
brilliant,76
vegan,76
working,75
cheese,75
vibe,75
quickly,75
outstanding,75
quiet,75
train,74
start,74
although,74
needed,74
beautifully,73
sweet,73
point,72
sunday,72
thought,71
pleasant,71
moment,71
