place_id,restaurant_name,address,avg_rating,avg_sentiment_compound,total_reviews,positive_review_count,negative_review_count,neutral_review_count,opening_hours,all_review_texts,positive_ratio,negative_ratio,food_type_tags,priority_tags
ChIJ--szq4q8cEgRY1mHMXBEuKk,Keg & Grill,"20 Suffolk St, Birmingham B1 1LW, UK",4.4,0.7741800000000001,5,4,0,1,"[""Monday: 4:00 – 10:00 PM"", ""Tuesday: 4:00 – 10:00 PM"", ""Wednesday: 4:00 – 10:00 PM"", ""Thursday: 4:00 – 10:00 PM"", ""Friday: 2:00 – 10:30 PM"", ""Saturday: 2:00 – 10:30 PM"", ""Sunday: 2:00 – 9:00 PM""]","Popped in here for a Mixed Grill, and the food, service, and beer were all decent. The food was that good, we surprised ourselves by finishing it all off and not taking any home with us like we normally do.

There was that traditional desi pub ambience, but it was surprisingly quiet for a city centre eatery. I was there from before 7pm to after 8pm on a Thursday evening, and in that entire time there were only two other customers in there, who were just having a few drinks.

I rang them a few days beforehand and I was assured they use meat which is NOT produced in accordance with any religious faith. Sampled the veg mixed grill platter and was very impressed. Very tasty indeed.

***

Went to sample the food. The Saag was lovely and flavourful and the meat grill platter was also good. All in all, a nice mid week treat.

***
Used to be Jungle Bird before it closed permanently and saw that it’s now a new place so got curious and popped in for a drink. Didn’t eat so can’t comment on the food. People are super friendly though and love seeing a selection of beer on draft that you don’t tend to see elsewhere. A chilled place to hangout and watch a bit of sport. Will 100% come back to try the food. Fabulous wraps and masala chips - had a peel at the next tables curries -they also looked brilliant, lovely friendly staff. Hopefully this place will get as popular as their old premises - it was a bit lacking in atmosphere due to lack of customers - well worth trying and I’m sure it will soon be a must go to place. Quite a simple pub, serving excellent Indian food, with good service.
The menu is board and each item I had was good in it's own right. They were happy to customise the grill to my taste, and enquired if it was fine.
Good job. Its a busy place booking a table would be smart. Went here with some mates. The beer was flat so had to have it replaced and the mixed grill was disappointing. The tandoori chicken tastes like it was made earlier and warmed up in the microwave, dry and hard. Also had to ask for salad and additional sauces, most places give you bottles and salad as included but we were charged for a plate of salad that came out towards the end of the meal. Would not visit this place again. The place was empty on a Saturday night. The butter chicken was definitely not butter chicken, just some random generic  sauce with dry chicken pieces in it.",0.8,0.0,"[""Indian"", ""Cafe"", ""Bar/Pub"", ""Fast Food"", ""Ethiopian""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Cleanliness"", ""Drinks""]"
ChIJ-0Qa7su9cEgRBb-hKW9sRqI,Bournbrook Pavilion,"48 Aston Webb Blvd, Birmingham B15 2GR, UK",4.4,0.5235,5,3,0,2,"[""Monday: Closed"", ""Tuesday: 12:00 – 9:00 PM"", ""Wednesday: 12:00 – 9:00 PM"", ""Thursday: 12:00 – 9:00 PM"", ""Friday: 12:00 – 9:00 PM"", ""Saturday: 12:00 – 9:00 PM"", ""Sunday: Closed""]","Staff very helpful, great food and clean modern venue

Held a corporate event here and can't fault the service provided by Liam and the team. Would definitely recommend to anyone looking for a function venue in the centre of Birmingham. The only warning I would put out is don't park in the multi storey campus car park which I did by mistake as there is free venue parking at weekends... Multi storey is £25 to park here on a Sunday afternoon. Thankfully Liam sorted this out for us but I was stunned at the rate being demanded.

As for the Pavilion, as a said - staff were all very helpful and friendly. The food was great for both flavour and quantity. The room arrangement worked really well - bar area with separate room to sit and eat. Toilets were also within booked area so didn't have to go out to public space and that helped make  the event feel very private.

8 would recommend and use again.... The Bournbrook Pavilion is the University of Birmingham residence hall that is closest to the university. And it is situated in the Selly Oak village. Selly Oak is known as a student town. A variety of student eateries and stores are within walking distance. The hostel is close to Aldi, Tesco, and Sainsbury's supermarkets. Bournbrook Pavilion is about 300-200 metres away from the University of Birmingham. Nice simple food, cost effective lunch, quick service and nice staff. I can see me spending a fortune here because of its close proximity. Friendly staff. Great Bacon Bap & Caramel frappé.. V.clean. XX Decent but non halal dietary options",0.6,0.0,"[""Bar/Pub"", ""Breakfast""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Cleanliness"", ""Location"", ""Waiting Time"", ""Drinks"", ""Experience"", ""Dietary Options"", ""Booking/Entry""]"
ChIJ-7JmFwC9cEgRoeM4t9QclEk,Waki Maki,"Guild of Students, Edgbaston Park Rd, Birmingham B15 2TU, UK",3.4,0.11510000000000001,5,2,1,2,"[""Monday: 12:00 – 2:00 PM"", ""Tuesday: 12:00 – 2:00 PM"", ""Wednesday: 12:00 – 2:00 PM"", ""Thursday: 12:00 – 2:00 PM"", ""Friday: 12:00 – 3:00 PM"", ""Saturday: Closed"", ""Sunday: Closed""]","Delicious and cheap! It’s like subway but with sushi rolls and bowls. Loads of vegan options, fake hoisin duck is unreal. Server was Ruby who was really kind and chatty and gave good recommendations! HORRIBLE FOOD! Cold breaded chicken. Thai tofu is disaster.
First time I want vomit due to food tasting. Ordered tofu and was served Quorn. Food was incredibly salty & couldn’t finish Excellent service from Timothy. Halal food aswell. nan",0.4,0.2,"[""Japanese"", ""Vegetarian/Vegan"", ""Thai""]","[""Service"", ""Food Quality"", ""Value"", ""Dietary Options""]"
ChIJ-7P4Luy8cEgREshdPMxKBhQ,The Jewellery Quarter Birmingham,"309f, 120 Vyse St, Birmingham B18 6NF, UK",4.6,0.85252,5,5,0,0,"[""Monday: 9:00 AM – 4:00 PM"", ""Tuesday: 9:00 AM – 4:00 PM"", ""Wednesday: 9:00 AM – 4:00 PM"", ""Thursday: 9:00 AM – 4:00 PM"", ""Friday: 9:00 AM – 4:00 PM"", ""Saturday: Closed"", ""Sunday: Closed""]","I did get a little lost walking from the city centre out to the Jewellery Quarter but I was glad that I made the effort,
This is definitely the place to come if you want expert advice and high quality products.
I visited the area on a sunny Saturday when it was very busy - cafes were packed and there was also an artisan market doing a roaring trade. Fab area. Visited the coffin museum and the jewellery shops.  Great vibes, lots of eateries and coffee shops. A place of men wandering on their own through a jungle of shiny things, looking a bit lost. Having said that, this is the place to go to get a good value, quality engagement ring. I ended up going with a bespoke shop elsewhere for the ring design but I bought the diamond in Birmingham. Although some are a little pushy, most of the shop assistants have the right level of patience to deal with (largely) men who just want the experience to end.

My advice to engagement ring shoppers would be to look around for half hour or so and then console yourself with a beer in one of the conveniently located pubs! Great place to find quality jewellery at good prices with a vast range of gold and diamonds Wonderful place and experience! Loads of expert independent jewellers and valuers.
I used 'Marlows' who were outstandingly helpful, Special thanks to Leighanne.",1.0,0.0,"[""Cafe"", ""Bar/Pub""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Location"", ""Drinks"", ""Experience""]"
ChIJ-U3QtrK9cEgRLATZo_nl3IQ,Vietnamese Street Kitchen,"Bullring, St Martins Square, Birmingham B5 4BW, UK",4.5,0.9640599999999999,5,5,0,0,"[""Monday: 12:00 – 10:00 PM"", ""Tuesday: 12:00 – 10:00 PM"", ""Wednesday: 12:00 – 10:00 PM"", ""Thursday: 12:00 – 10:00 PM"", ""Friday: 12:00 – 10:30 PM"", ""Saturday: 12:00 – 10:30 PM"", ""Sunday: 12:00 – 10:00 PM""]","We had a lovely family meal at Vietnamese Street Kitchen and really enjoyed the experience overall. The atmosphere was lively and welcoming, with stylish décor that gave a nice modern twist to traditional Vietnamese vibes.

The food was flavourful and well-presented, though it did take a bit of time to arrive. Prices were a little on the higher side for a casual meal, but the quality of the food made up for it.

For starters, my wife and I shared the chicken mango salad and duck dumplings. Both dishes were fresh, full of flavour, and nicely balanced — a great way to start the meal. The kids were happy with their chicken mains served with chips and salad — simple but tasty and well portioned.

For mains, I went for the Bun-Cha-Ha-Noi, which included fresh rice noodles, thinly sliced pork, king prawn meatballs, and a traditional spring roll. It was a delicious combination of textures and flavours. My wife had the grilled lemongrass chilli chicken — flame-grilled thighs marinated in a fragrant chilli blend — and she really enjoyed the spicy kick.

Overall, a great spot for something a bit different. We’d return again, especially for the unique flavours. Great service and amazing food. We were served quickly, and the food was really high quality with fantastic flavour. Recommend trying the cocktail of the month, this month's was great! We thoroughly enjoyed our night out at the Vietnamese Street Kitchen while attending an event in Birmigham. The food was delicious with lots of options and the staff were very helpful. The atmosphere was really good too. Will definitely be returning if we've business in Birmingham again I love their food very nice and filling, it satisfied my cravings today. All staff are welcoming. I was served by ruby today and she was very kind and helpful. I have been several times and will go again. We came here for lunch. We choose this place because there were plenty of vegetarian options. We chose al vegetarian starters on the menu and all of them were delicious! We also loved the fresh original lemonade. The restaurant itself was cozy and the staff were very friendly. We recommend this place.",1.0,0.0,"[""Chinese"", ""Burger"", ""Bar/Pub"", ""Fast Food"", ""Vegetarian/Vegan"", ""Vietnamese"", ""Spanish""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Experience"", ""Portion Size"", ""Dietary Options"", ""Ventilation/AC""]"
ChIJ-UZ-oom8cEgRG4ARPLXlDCE,The Sunflower Lounge,"76 Smallbrook Queensway, Birmingham B5 4EG, UK",4.3,0.49428,5,4,1,0,"[""Monday: Closed"", ""Tuesday: 4:00 – 11:00 PM"", ""Wednesday: 4:00 – 11:00 PM"", ""Thursday: 4:00 – 11:00 PM"", ""Friday: 12:00 PM – 1:00 AM"", ""Saturday: 12:00 PM – 1:00 AM"", ""Sunday: Closed""]","Staff gave a chair for my partner who needed to sit down. Acoustics were good. Glad both doors were open due to no other ventilation or air conditioning. Good priced drinks also. Chris and Ed were absolutely exceptional! Chris especially gave recommendations and remembered out order! Chris was amazing at handling the bar and was a great chat! Would definitely recommend sunflower lounge and Chris as a bar tender! Thank you so much Chris! You’re the best! Was surprised at how small this little hidden gem was.  We went to see Casey McQuillen on the last night of her tour.  It was friendly, felt safe and was a really fun and cosy venue to see emerging artists perform.  Drinks were priced well but standing up all night was tough on my back but didn’t spoil the night for me. brilliant little bar, ended up seeing a gig there too. made me feel very welcome in birmingham, really nice staff and they even took some requests for tunes. will definitely be back if i’m in the city again! came to watch pleasure inc who were amazing. nice bar but unfortunately staff were rude. had to wait 5 minutes to be served as bar staff were too busy chatting and looking at phones. when I was finally served staff were rude and blunt made me feel unwelcome. a nice venue otherwise but didn’t hang around after the event as we were not impressed with the way we were spoken to",0.8,0.2,"[""Cafe"", ""Bar/Pub"", ""Vietnamese""]","[""Service"", ""Value"", ""Location"", ""Waiting Time"", ""Drinks"", ""Experience"", ""Portion Size"", ""Sound/Noise"", ""Ventilation/AC""]"
ChIJ-UrS84u8cEgRGtLM1_ZlAn8,YO! Birmingham Grand Central,"Unit MK9, Grand Central, Stephenson Pl, Birmingham B2 4BQ, UK",4.2,0.92028,5,5,0,0,"[""Monday: 11:00 AM – 9:00 PM"", ""Tuesday: 11:00 AM – 9:00 PM"", ""Wednesday: 11:00 AM – 9:00 PM"", ""Thursday: 11:00 AM – 9:00 PM"", ""Friday: 11:00 AM – 9:00 PM"", ""Saturday: 11:00 AM – 9:00 PM"", ""Sunday: 11:00 AM – 6:00 PM""]","The food was great and the experience and people are amazing only thing I’d say is bring some water and service one in the session was slow for us but the food and making experience is beginner friendly and memorable The staff here are friendly and their service is excellent. Food is good but portions are small, so you buy more then suddenly it's very expensive... But if you can do maths before you order, then you will probably enjoy it here. Overall the food is very good. It's always fresh and tasty but the portion sizes are small and quite expensive. It's very nice for a special occasion or a light lunch.

The restaurant is clean and tidy and the food is easy to order via the QR code.

It's well worth a visit if you like Japanese Food but be prepared to be hungry an hour after you eat

Also...There is a service charge added to your bill as standard. Although i believe in tipping when service is good i don't think it should be expected. Nice restaurant with rotating sushi conveyor belt all around the restaurant. The staff were really friendly and check on you to make sure everything is okay. I ordered a regular chicken noodle, but portion was a bit small in my opinion but still tasted good. Would recommend. We came here unplanned but were immediately seated  and ready to eat. We were sat  next to chef and manager Gino who was amazing and super friendly as he cooked. He went out of his way to make the extra effort and put a smile on our faces. The food and atmosphere was top notch and went hand in hand with the amazing staff too.

Will definitely return🤩🤤",1.0,0.0,"[""Japanese"", ""Bar/Pub""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Cleanliness"", ""Experience"", ""Portion Size""]"
ChIJ-XpOK4i8cEgRdc9nudYentw,The Arcadian by M,"70 Hurst St, Birmingham B5 4TD, UK",4.1,0.8674799999999999,5,5,0,0,"[""Monday: 9:00 AM – 12:00 AM"", ""Tuesday: 9:00 AM – 12:00 AM"", ""Wednesday: 9:00 AM – 12:00 AM"", ""Thursday: 9:00 AM – 12:00 AM"", ""Friday: 9:00 AM – 2:00 AM"", ""Saturday: 9:00 AM – 2:00 AM"", ""Sunday: 9:00 AM – 12:00 AM""]","A Clubbers Paradise. Not cheap but if your looking for a good place to start your night out in Birmingham,this is it.

20min walk to Broad Street. (Clubs)
7 min walk to Digbeth. (Pubs)

Surrounded by food, buffets. In China Town. Right by the hippodrome and Gay Village.

Never a dull moment. Check it out. Seafood City 😋  the food was awesome 👌 absolutely we will come back there again... This combo
Don't Be Shellfish
Lobster tail, 10 king prawns, 10 fresh mussels, red roast potatoes, 2 corn on the cob, and 2 pieces of garlic bread really excellent... Service 5* Food 5* Ambience 5*.... ❣️💚❣️ We went to Seafood City on 17.9.24. The atmosphere was great, the staff were super helpful, friendly and professional.
We ordered the sharing platter and wow, what a selection. It was fresh, tasty  and I would highly recommend it.
I will say, it wasn't quite as hot as I would have liked and the chairs are soo uncomfortable. Next time, I'll take a cushion 🤣🤭 I stopped by to get a delicious Chinese takeaway. Fried rice  with 3 tiny forks and chopsticks. I enjoyed it. A large portion eaten in 2 sittings. It was served with a smile. Excellent place to park based in Chinatown, Birmingham. Ideal for a hippodrome and easily booked in advance using your parking space app. Very good prices and the secure site",1.0,0.0,"[""Chinese"", ""Cafe"", ""Bar/Pub"", ""Fast Food"", ""Seafood"", ""Ethiopian""]","[""Service"", ""Food Quality"", ""Atmosphere"", ""Value"", ""Cleanliness"", ""Location"", ""Experience"", ""Portion Size"", ""Seating/Comfort"", ""Booking/Entry"", ""Ventilation/AC""]"
ChIJ-XpOK4i8cEgRvtYKoVoBxbE,Dezhou Style Braised Chicken 德州扒鸡,"B109, Arcadian Centre, 70 Hurst St, Birmingham B5 4TD, UK",4.7,0.94466,5,5,0,0,"[""Monday: 12:00 – 10:00 PM"", ""Tuesday: Closed"", ""Wednesday: 12:00 – 10:00 PM"", ""Thursday: 12:00 – 10:00 PM"", ""Friday: 12:00 – 10:00 PM"", ""Saturday: 12:00 – 10:00 PM"", ""Sunday: 12:00 – 10:00 PM""]","Visited here before the theatre for some hand stretched noodles and to try some Dezhou chicken. The restaurant is very small but service is fast. Noodles are super tasty and the Dezhou chicken melted like butter and was so full of flavour. This is a must visit spot if you are in the area and love noodles Braised chicken is a must-try! The biangbiang noodles are also fantastic and the perfect chewy texture. Even better with black vinegar. Love this place and the friendly staff! Very quick easy cheap incredible food.
Noodles are tasty and great texture and fresh.
Tried a cold and hot tea, cold tea was the one for me. The soup was really good also. Humble noodle shop in Birmingham Chinatown …Authentic Hand Pulled Noodles with Excellent melt in the mouth Braised Chicken..Tofu Veg  Biang Biang noodles were delicious as well..Homely and friendly service..bang on the buck. Great food, ramen is lovely and reasonably priced. Very small on the inside and only accept cash. Would be better if they accepted card payments! Good to be able to see noodles being made fresh",1.0,0.0,"[""Chinese"", ""Japanese""]","[""Service"", ""Food Quality"", ""Value"", ""Drinks"", ""Portion Size"", ""Ventilation/AC""]"
ChIJ-YgObry9cEgR4XVvp3vEre4,Pizza Express,"153-155 High St, Harborne, Birmingham B17 9QE, UK",4.2,0.9484999999999999,5,5,0,0,"[""Monday: 11:30 AM – 9:30 PM"", ""Tuesday: 11:30 AM – 9:30 PM"", ""Wednesday: 11:30 AM – 9:30 PM"", ""Thursday: 11:30 AM – 9:30 PM"", ""Friday: 11:30 AM – 11:00 PM"", ""Saturday: 11:30 AM – 11:00 PM"", ""Sunday: 11:30 AM – 9:30 PM""]","Sat outside in the garden, perfect weather for it. Great food and the staff were polite and accomodating. Liv, our waitress was lovely and ensured that we were okay with our food. We had a birthday party here, the kids loved making the pizzas bases and adding there favourite toppings. The staff were very accommodating, understanding, polite would definitely recommend Great Evening Meal. Food was good.
Raffaele gave us great service and looked after us really well.
Recommended place for a nice meal. My son had his 6th birthday party here yesterday- and what a success it was from start to finish. Kate who was our host was absolutely wonderful with the children and so helpful. The pizzas turned out brilliant and everyone commented on what a great idea/ party it was. Thank you- especially Kate! We had an AMAZING party today at pizza express in Harborne!  Our child had a great time! Thank you all so much, especially to Kate who was the party host.  You did a great job. The kids had a wonderful time and the pizzas were so good!   Thank you! 😊",1.0,0.0,"[""Italian""]","[""Service"", ""Food Quality"", ""Waiting Time"", ""Experience"", ""Seating/Comfort""]"
