restaurant_name,rating,total_ratings,address,place_id,opening_hours,review_author,review_rating,review_text,review_time,review_language,sentiment_compound,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_label
Malmaison Birmingham,4.2,1903.0,"1 Wharfside St, Birmingham B1 1RD, UK",ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Nikita Cranston,5.0,"I only booked a night here for after the Kendrick Lamar concert. But it was an excellent stay. The rooms were amazing. I actually got a free upgrade! The room was spacious, they had all the right amenities, including free bottled water. The hotel is located right by the train station so it’s really easy to get to. The service was excellent from the front desk and the hospitality staff. The breakfast was great too, I liked that it has both a continental buffet and cooked options you can choose from. The choices are a bit limited but most people will find something they’ll like. If I come back to Birmingham, I’ll be staying again.",2025-07-12 10:24:51,en,0.9925,0.017,0.687,0.296,Positive
Malmaison Birmingham,4.2,1903.0,"1 Wharfside St, Birmingham B1 1RD, UK",ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Duncan Brightside,5.0,"Really beautiful hotel in the heart of Birmingham city centre.
We had a lovely, warm welcome. The room was an excellent size and very clean.
The continental breakfast selection was good, and the freshly cooked breakfast was divine.
We will definitely be staying here again.",2025-05-26 19:00:44,en,0.9814,0.0,0.549,0.451,Positive
Malmaison Birmingham,4.2,1903.0,"1 Wharfside St, Birmingham B1 1RD, UK",ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Sahlin Abdulhamid,5.0,"Amazing Stay at Malmaison Birmingham!

I recently stayed at Malmaison Birmingham for two nights and had a truly wonderful experience. From the moment I arrived, the staff were incredibly friendly, welcoming, and professional they really set the tone for a great stay.

The room was spotless, stylish, and very comfortable. Everything felt fresh and well-maintained, making it easy to relax. I was also impressed with the breakfast a fantastic spread with delicious options that really exceeded expectations.

The location couldn’t be better right in the heart of Birmingham, making it super convenient to get around and explore the city. Everything was easy to find and navigate.

The only small suggestion I’d make is that I would have appreciated being told about the spa services at check-in. I only found out about them through the in room leaflet, and it would’ve been great to know earlier to plan ahead.

Overall, an amazing stay and I’d happily return. Highly recommended!",2025-05-18 23:21:41,en,0.9969,0.0,0.647,0.353,Positive
Malmaison Birmingham,4.2,1903.0,"1 Wharfside St, Birmingham B1 1RD, UK",ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",David WALKER,4.0,"Rooms are clean and spacious but dark and decorated contemporary. No drawer storage but as 2 night stay no real issue as wardrobe has shelves. Safe in the room is digital and bathroom is well lit and spacious. I ate in the restaurant and my meal was served without fries  which came when I asked for them, but my meal was only warm by then. I asked for it to be replaced which it was after a heated exchange. The replacement meal was piping hot and a complimentary drink offered by means of apology which I declined as the meal was put right.
The restaurant management were polite and courteous at all times after the meal was replaced so I was happy.",2025-06-07 10:17:34,en,0.9646,0.041,0.768,0.19,Positive
Malmaison Birmingham,4.2,1903.0,"1 Wharfside St, Birmingham B1 1RD, UK",ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Yameen Rasul,3.0,"The service at breakfast depends on who you are. I have seen a bias on even taking orders based on the people that are at the table. Breakfast the first morning had to be returned as it had clearly been left under heat lamp for too long and made the eggs rubbery. However they did make something fresh. It may be a particular shift/members of staff but there is a definite lack of care and ambivalence to the guests at breakfast both days I was staying here.
The room was great, excellent sanctuary from whatever has dragged you to Birmingham. I am staying during a heatwave and the aircon in the room was a life saver. Spacious big bed and room, fridge, tea and coffee facilities. No bottled water in room, which is fine for me, but I know sometimes is nice to have.

I would probably stay here again but just know that service in the restaurant/breakfast is not something to expect much from",2025-07-12 10:02:23,en,0.9674,0.046,0.802,0.152,Positive
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1184.0,"3-6 Waterloo St, Birmingham B2 5PG, UK",ChIJ1S24H4y8cEgRK_UGHBzKDKU,,J W,4.0,"A brilliant stay. Room is modern (although the TV could do with a little update) and super clean.

I stayed after a busy bank holiday weekend and although clean and tidy, it felt the bed making was perhaps rushed but still nothing to be picky about.

The aircon was amazing! Some of the best and quickest to cool a room.

The bed comfortable and the shower hot (although not the most amazing pressure).

It was quiet in the hotel and breakfast is down in the attached restaurant which I’ve reviewed separately.",2025-05-27 12:16:12,en,0.9874,0.0,0.69,0.31,Positive
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1184.0,"3-6 Waterloo St, Birmingham B2 5PG, UK",ChIJ1S24H4y8cEgRK_UGHBzKDKU,,Chris Bell,5.0,"Stopped in just to get a breakfast as was staying in a TL and theirs aren't as good but cost almost as much. The staff were friendly and efficient. Food was excellent. Everything cooked perfectly, fully stocked, and being regularly refilled with fresh. Both scrambled and fried eggs cooked perfectly. Decent unlimited coffee. Plus I think you can have up to two kids free with an adult so potentially less than £4 per person.",2025-03-26 18:48:31,en,0.9871,0.032,0.638,0.33,Positive
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1184.0,"3-6 Waterloo St, Birmingham B2 5PG, UK",ChIJ1S24H4y8cEgRK_UGHBzKDKU,,Susan Yorke,4.0,"This was the first time me and my daughter stayed here, we were welcome on entry the room was lovely spacious even doe we've had much bigger at other premier inns. The room service was good the food from restaurant was beautiful only problem was there wasn't much on the menu when we stayed. Breakfast was nice but we wished there was more even doe one of the waitress went out of her way to get yoghurts for my daughter, which was most appreciated. All the staff were great and the location was good too all and all we had a good stay",2025-02-03 14:31:10,en,0.98,0.015,0.749,0.236,Positive
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1184.0,"3-6 Waterloo St, Birmingham B2 5PG, UK",ChIJ1S24H4y8cEgRK_UGHBzKDKU,,Jane Holmes,5.0,"The staff are very friendly and helpful. The room I had was really quiet and very clean. There was ample tea, coffee and milk in the room and plenty more if required in the reception area. The resturant for breakfast was excellent, plenty of cereals, breads and the cooked breakfast smelled lovely (I didn't have that). It is nice that in the evening you can get a drink and the surroundings are favourable for relaxing with nice lighting.",2025-03-12 22:19:44,en,0.9773,0.0,0.725,0.275,Positive
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1184.0,"3-6 Waterloo St, Birmingham B2 5PG, UK",ChIJ1S24H4y8cEgRK_UGHBzKDKU,,Tanya Dullenty,5.0,"Stayed here for the first time while in Birmingham. I had read previous reviews and took with a pinch of salt.
The room was absolutely beautiful for standard. Wasn't that bothered about the view since the curtains would be closed anyway!
Food in the attached restaurant was top quality and definitely value for money. For £30, it includes unlimited breakfast and a evening meal deal comprising of either starter and main OR main and dessert. I chose starter (beef burnt ends) and main (8oz rump with chips) and includes a drink. WOW!
* * * * *",2025-02-04 17:15:44,en,0.9529,0.0,0.817,0.183,Positive
Hotel ibis Styles Birmingham Centre,4.1,1538.0,"65 Lionel St, Birmingham B3 1JE, UK",ChIJwzRBKPO8cEgRuILWfeSZZAg,,Dom S,4.0,"A well located and good value hotel which is ideal for the city centre, Jewellery Quarter and main railway stations. The hotel is in a quiet location away from the main roads and nightlife. Rooms are a good size, with very good mattresses and pillows. The air conditioning is not the quietest and doesn't go quite as cool as I would like. Bathrooms generally comprise a shower with no bath, which is how I prefer it. Service was excellent throughout, and breakfast is very good value for money. There is a limited bar however no food service at lunch and dinner. One of the lifts was out of order throughout, which caused minor delays at peak times. Overall, good value for money and I would stay again.",2025-07-06 13:50:30,en,0.9812,0.043,0.709,0.248,Positive
Hotel ibis Styles Birmingham Centre,4.1,1538.0,"65 Lionel St, Birmingham B3 1JE, UK",ChIJwzRBKPO8cEgRuILWfeSZZAg,,L Cooper,3.0,"Great location and the rooms are clean and well laid out. The breakfast is good and bar well stocked. However in the rooms the windows are sealed and the air conditioning unit was very loud and not very good. We also paid for late check out, however were woken to a staff member knocking on our door at regular check out time, telling us to check out (this was resolved quickly but we had been woken up, hoping for a little more sleep). Good value and polite staff but a few things could be better.",2025-07-08 14:35:16,en,0.974,0.0,0.745,0.255,Positive
Hotel ibis Styles Birmingham Centre,4.1,1538.0,"65 Lionel St, Birmingham B3 1JE, UK",ChIJwzRBKPO8cEgRuILWfeSZZAg,,Rebecca Louise,5.0,"This is the perfect location, high standard rooms, incredible breakfast and lovely staff.
Easy to find and in prime location to visit Birmingham.
I had a large room with a king-size bed, large bathroom that was wheelchair accessible. Rails and low sink for a wheelchair user.
Towels, shampoo and conditioner provided.
Tea and coffee in room.
Smart TVs that can connect to phones.",2025-07-06 21:14:19,en,0.9001,0.03,0.78,0.189,Positive
Hotel ibis Styles Birmingham Centre,4.1,1538.0,"65 Lionel St, Birmingham B3 1JE, UK",ChIJwzRBKPO8cEgRuILWfeSZZAg,,Susan and Kevin Sweeney,5.0,"Hotel was in excellent location.
Room very clean and comfy.
Staff very pleasant and helpful.
Lovely breakfast.
Bar open late.
Couldn't fault it.
Would definitely recommend it and will be back.",2025-07-06 11:22:32,en,0.9739,0.0,0.483,0.517,Positive
Hotel ibis Styles Birmingham Centre,4.1,1538.0,"65 Lionel St, Birmingham B3 1JE, UK",ChIJwzRBKPO8cEgRuILWfeSZZAg,,John Goddard,4.0,"Would have been a higher rating if not for the following. Difficulty locating car park entrance and couldn't find any instructions on the hotel web site other than there is one. On parking it was dissapointing to find lift not available which meant climbing several flights of stairs to reception. Otherwise our stay was perfect with a good size bed, clean room and good breakfast.",2025-07-11 08:16:01,en,0.8689,0.033,0.799,0.168,Positive
Holiday Inn Birmingham City Centre by IHG,4.0,2662.0,"Smallbrook Queensway, Birmingham B5 4EW, UK",ChIJ2Y0vzYu8cEgRC-Vc1u6h0OA,,Lesley Knight,5.0,Excellent service! They didn't have any accessible rooms listed on their website but they upgraded us to an accessible room when our room's TV wouldn't work! Wheelchair accessibility was pretty good. Loved the inclusion of a pull cord by the bed in the accessible room! The cleaners added a lovely personal touch!,2025-07-12 13:14:00,en,0.9756,0.0,0.669,0.331,Positive
Holiday Inn Birmingham City Centre by IHG,4.0,2662.0,"Smallbrook Queensway, Birmingham B5 4EW, UK",ChIJ2Y0vzYu8cEgRC-Vc1u6h0OA,,Jonathan Davies,4.0,"Great location.
Large room with a super king bed. Great shower.
The only downsides were the pillows weren't the most comfortable but were ok.
Perfect location (opposite New St station) and close to many bars and restaurants etc. However, just outside of the hotel was really run down and derelict.

The air con didn't work (wouldn't even turn on). When I informed reception, they said they'd try and fix it during the day, and that if they couldn't, then they'd move me to a different room. They didn't fix it and told me I couldn't move rooms as most of the rooms didn't have air conditioning working either. Poor for a large chain hotel (especially due to the fact it was the hottest days of the year so far). So uncomfortable to sleep.",2025-07-03 12:52:51,en,0.6194,0.071,0.823,0.106,Positive
Holiday Inn Birmingham City Centre by IHG,4.0,2662.0,"Smallbrook Queensway, Birmingham B5 4EW, UK",ChIJ2Y0vzYu8cEgRC-Vc1u6h0OA,,Alan French,5.0,"Brilliant location, easy to taxis around the city, right in the centre and close to everything.

Staff were spot, everything was just sorted out easy and efficient.

Hotel has 3 Eva charges which would have been good except you can’t reserve but 1 was reserved and another had a non EV parked in it. Not the end of the world as there are plenty of chargers around and the NCP is right opposite the rear entrance.

Room was ok, was really hot and the fan didn’t do much to cool us down. But everything was there, we just needed a base to crash for the night

Does a job!!",2025-07-06 08:56:14,en,0.9069,0.043,0.793,0.164,Positive
Holiday Inn Birmingham City Centre by IHG,4.0,2662.0,"Smallbrook Queensway, Birmingham B5 4EW, UK",ChIJ2Y0vzYu8cEgRC-Vc1u6h0OA,,Parveen Usman,1.0,"Very disappointing experience – avoid during hot weather

I specifically booked this hotel because it advertised having air conditioning, and with the recent heat, I wanted a comfortable stay. Unfortunately, the air conditioner in my room didn’t work at all. What made things worse is that the hotel did not inform me about this at check-in.

When I raised the issue, the receptionist told me they were fully booked and couldn’t move me to another room. She offered me breakfast or a drink instead – which I declined – but this felt like a poor attempt to make up for such a serious comfort issue, especially in peak summer heat.

What’s most frustrating is that I later checked Google reviews and saw someone else had the exact same issue a week before my stay. Clearly, this is an ongoing problem, and they continue to check guests into rooms knowing the air conditioning doesn’t work. This is highly unprofessional and misleading. If the AC is broken, these rooms should not be in use.

I expected more from a large hotel chain. Sadly, I wouldn’t recommend this place – at least not until they fix their air conditioning and improve how they handle guest concerns.",2025-07-13 11:23:59,en,-0.9556,0.168,0.746,0.086,Negative
Holiday Inn Birmingham City Centre by IHG,4.0,2662.0,"Smallbrook Queensway, Birmingham B5 4EW, UK",ChIJ2Y0vzYu8cEgRC-Vc1u6h0OA,,Barry Dean,5.0,"Great place to stay! Clean, modern spacious rooms, next door to the train station, which made me worried it might be noisy at night but have been proved worring for nothing. Had a good rest at night. Close to city centre. Lovely breakfast! Best ever scrambled eggs and brie cheese.",2025-05-22 11:08:54,en,0.9173,0.095,0.656,0.25,Positive
Clayton Hotel Birmingham,4.3,2935.0,"Clayton Hotel, Albert St, Birmingham B5 5JE, UK",ChIJF5clh4O8cEgR-EskG0QqegY,,David Hartley,5.0,"Visiting the hotel was a truly delightful experience, and I would like to share my thoughts. From the moment I arrived, the welcoming atmosphere was immediately apparent. The staff members were exceptionally kind and went above and beyond to ensure a comfortable stay. The room was well-appointed, offering a perfect blend of style and functionality. The bed was incredibly comfortable, contributing to a restful night's sleep. The hotel's amenities, such as the fitness center and restaurant, added to the overall enjoyment. The quality of the food and the service in the restaurant were both impressive and memorable. Overall, my experience was outstanding, and I highly recommend this hotel to anyone.",2025-06-25 16:39:33,en,0.9933,0.0,0.639,0.361,Positive
Clayton Hotel Birmingham,4.3,2935.0,"Clayton Hotel, Albert St, Birmingham B5 5JE, UK",ChIJF5clh4O8cEgR-EskG0QqegY,,Ryder Kennedy,5.0,"Honestly, one of the best hotels I could've stayed at for my first time in Birmingham. Everyone was so kind to me for my birthday weekend, and I got solid recommendations for exploring the town. The only downside I would say is that the air conditioning in my room wasn't working for the first two days, but it's okay because I had my portable fan with me. The construction in front of the building wasn't too bad; it wasn't noisy and it was easy to get around to the entrance. I would definitely stay again! Location is also such a plus with this hotel.",2025-07-08 23:52:52,en,0.9739,0.013,0.752,0.235,Positive
Clayton Hotel Birmingham,4.3,2935.0,"Clayton Hotel, Albert St, Birmingham B5 5JE, UK",ChIJF5clh4O8cEgR-EskG0QqegY,,Özlem Taç,1.0,"We made a reservation to stay at this hotel on June 21–22, 2025. When we got to our room, we realized that the air conditioner was not working. First, they said they would fix it, then they said they would change our room, and during the last call, they told us they couldn't do anything and that we should make do with the small portable air conditioner in the room. In an environment where the temperature is 30 degrees Celsius, this is the level of service quality we received from the hotel. I absolutely do not recommend it. They were not helpful in any way, and the service quality is very poor",2025-06-21 23:36:40,en,-0.7963,0.07,0.93,0.0,Negative
